date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:05	30166/30166	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202019%2023:33:06%20GMT	http://themes.dhrubok.website/xpider/home-tokyo/img/patterns/zig-zag-wool.png	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/home-tokyo/img/patterns/zig-zag-wool.2e.delayed	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:06	49811/49811	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:18%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-adelaide.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-adelaide0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:08	491837/491837	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:24%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-budapest.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-budapest0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:10	1447118/1447118	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:31%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-helsinki.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-helsinki0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:12	296304/296304	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:23%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-moscow.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-moscow0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:13	42432/42432	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:18%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-sydney.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-sydney0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:13	562447/562447	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:29%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-tokyo.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-tokyo0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:23	1304139/1304139	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:47%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-cairo.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-cairo0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:23	494275/494275	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:23%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-oslo.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-oslo0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:30	3737636/3737636	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:31%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-beijing.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-beijing0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:35	377665/377665	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:26%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-lisbon.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-lisbon0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:39	14440/14440	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Sep%202019%2002:04:06%20GMT	http://themes.dhrubok.website/xpider/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.4	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/plugins/contact-form-7/includes/js/scripts58e0.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:42	20337/20337	---M--	200	added ('OK')	application/javascript	date:Sat,%2013%20Oct%202018%2011:00:08%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/popper.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/popper.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:48	1943543/1943543	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Sep%202019%2008:27:24%20GMT	https://754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-beirut.png?lossy=0&strip=1&webp=1	C:/Users/annou/Documents/GitHub/Test/754701.smushcdn.com/1462796/wp-content/themes/xpider/assets/demo-assets/home-beirut0af1.png	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:49	2807/2807	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Sep%202018%2008:02:36%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/sticky.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/sticky.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:51	51039/51039	---M--	200	added ('OK')	application/javascript	date:Sat,%2006%20Oct%202018%2006:36:18%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/bootstrap.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/bootstrap.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
00:33:52	11807/11807	---M--	200	added ('OK')	application/javascript	date:Sat,%2013%20Feb%202016%2016:12:52%20GMT	http://themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/picturefill.min.js	C:/Users/annou/Documents/GitHub/Test/themes.dhrubok.website/xpider/wp-content/themes/xpider/assets/js/picturefill.min.js	(from http://themes.dhrubok.website/xpider/home-tokyo/)
